"","SampleID","FishYear","Year","Month","Day","birth_month","Method","Region","region_year","Site","site_year","Cohort","cohort_year","region_cohort","site_cohort","TL","FL","SL","Weight","Sex","Stage","MaturityStage","LOtoWt","ROtoWt","Width","Age","sAge","AAC","sAAC","Edge","EdgeRatio","EdgeType","region_stage_year","region_stage_cohort"
"37","AA415",2020,"2021","11","23","10",NA,"Riau Archipelago","Riau Archipelago_2020","Riau Archipelago","Riau Archipelago_2020","2016","2016_2020","Riau Archipelago_2016","Riau Archipelago_2016",596,NA,503,2700,"",NA,"Immature",0.835,0.861,0.13,4,-0.241660257151961,4,-0.805948649172035,0.058,0.446153846153846,"Intermediate","Riau Archipelago_Immature_2020","Riau Archipelago_Immature_2016"
"38","AA468",2019,"2021","12","6","10",NA,"Riau Archipelago","Riau Archipelago_2019","Riau Archipelago","Riau Archipelago_2019","2017","2017_2019","Riau Archipelago_2017","Riau Archipelago_2017",632,NA,526,3080,"",NA,"Immature",0.892,0.924,0.476,2,-0.934807437711907,3,-1.09363072162382,0.072,0.344497607655502,"Intermediate","Riau Archipelago_Immature_2019","Riau Archipelago_Immature_2017"
"39","AA468",2020,"2021","12","6","10",NA,"Riau Archipelago","Riau Archipelago_2020","Riau Archipelago","Riau Archipelago_2020","2017","2017_2020","Riau Archipelago_2017","Riau Archipelago_2017",632,NA,526,3080,"",NA,"Immature",0.892,0.924,0.209,3,-0.529342329603742,3,-1.09363072162382,0.072,0.344497607655502,"Intermediate","Riau Archipelago_Immature_2020","Riau Archipelago_Immature_2017"
"40","AA470",2020,"2021","12","6","10",NA,"Riau Archipelago","Riau Archipelago_2020","Riau Archipelago","Riau Archipelago_2020","2018","2018_2020","Riau Archipelago_2018","Riau Archipelago_2018",594,NA,519,2840,"",NA,"Immature",0.916,0.919,0.612,2,-0.934807437711907,2,-1.49909582973198,0.238,0.388888888888889,"Intermediate","Riau Archipelago_Immature_2020","Riau Archipelago_Immature_2018"
"41","AA471",2019,"2021","12","6","10",NA,"Riau Archipelago","Riau Archipelago_2019","Riau Archipelago","Riau Archipelago_2019","2017","2017_2019","Riau Archipelago_2017","Riau Archipelago_2017",577,NA,502,2780,"",NA,"Immature",0.85,0.829,0.497,2,-0.934807437711907,3,-1.09363072162382,0.187,0.665480427046263,"Intermediate","Riau Archipelago_Immature_2019","Riau Archipelago_Immature_2017"
"42","AA471",2020,"2021","12","6","10",NA,"Riau Archipelago","Riau Archipelago_2020","Riau Archipelago","Riau Archipelago_2020","2017","2017_2020","Riau Archipelago_2017","Riau Archipelago_2017",577,NA,502,2780,"",NA,"Immature",0.85,0.829,0.281,3,-0.529342329603742,3,-1.09363072162382,0.187,0.665480427046263,"Intermediate","Riau Archipelago_Immature_2020","Riau Archipelago_Immature_2017"
"43","AA619",2020,"2022","2","19","10",NA,"Riau Archipelago","Riau Archipelago_2020","Riau Archipelago","Riau Archipelago_2020","2018","2018_2020","Riau Archipelago_2018","Riau Archipelago_2018",577,NA,480,2580,"",NA,"Immature",0.948,0.97,0.462,2,-0.934807437711907,3,-1.09363072162382,0.098,0.415254237288136,"Intermediate","Riau Archipelago_Immature_2020","Riau Archipelago_Immature_2018"
"44","AA619",2021,"2022","2","19","10",NA,"Riau Archipelago","Riau Archipelago_2021","Riau Archipelago","Riau Archipelago_2021","2018","2018_2021","Riau Archipelago_2018","Riau Archipelago_2018",577,NA,480,2580,"",NA,"Immature",0.948,0.97,0.236,3,-0.529342329603742,3,-1.09363072162382,0.098,0.415254237288136,"Intermediate","Riau Archipelago_Immature_2021","Riau Archipelago_Immature_2018"
"45","AA621",2019,"2022","2","20","10",NA,"Riau Archipelago","Riau Archipelago_2019","Riau Archipelago","Riau Archipelago_2019","2017","2017_2019","Riau Archipelago_2017","Riau Archipelago_2017",711,NA,504,2980,"",NA,"Immature",1.085,1.107,0.418,2,-0.934807437711907,4,-0.805948649172035,0.101,0.483253588516746,"Intermediate","Riau Archipelago_Immature_2019","Riau Archipelago_Immature_2017"
"46","AA621",2020,"2022","2","20","10",NA,"Riau Archipelago","Riau Archipelago_2020","Riau Archipelago","Riau Archipelago_2020","2017","2017_2020","Riau Archipelago_2017","Riau Archipelago_2017",711,NA,504,2980,"",NA,"Immature",1.085,1.107,0.295,3,-0.529342329603742,4,-0.805948649172035,0.101,0.483253588516746,"Intermediate","Riau Archipelago_Immature_2020","Riau Archipelago_Immature_2017"
